Vin,Iout,V_diode
0.0,-7.81e-07,-0.003
0.010050251256281407,-7.510000000000001e-07,0.007
0.020100502512562814,-7.13e-07,0.017
0.03015075376884422,-6.890000000000001e-07,0.027
0.040201005025125629,-6.47e-07,0.037
0.050251256281407038,-6.25e-07,0.047
0.06030150753768844,-5.870000000000001e-07,0.057
0.070351758793969849,-5.51e-07,0.067
0.080402010050251257,-5.13e-07,0.078
0.090452261306532666,-4.81e-07,0.088
0.10050251256281408,-4.4600000000000005e-07,0.098
0.11055276381909548,-4.2600000000000003e-07,0.108
0.12060301507537688,-3.87e-07,0.11900000000000001
0.1306532663316583,-3.53e-07,0.129
0.1407035175879397,-3.3100000000000004e-07,0.139
0.15075376884422112,-2.92e-07,0.149
0.16080402010050251,-2.048e-07,0.158
0.17085427135678391,-2.048e-07,0.168
0.18090452261306533,-1.959e-07,0.178
0.19095477386934673,-1.661e-07,0.188
0.20100502512562815,-1.297e-07,0.198
0.21105527638190955,-9.16e-08,0.20800000000000002
0.22110552763819097,-5.8100000000000004e-08,0.219
0.23115577889447236,-2.32e-08,0.229
0.24120603015075376,7.2e-09,0.23900000000000002
0.25125628140703515,4.47e-08,0.25
0.2613065326633166,8.53e-08,0.26
0.271356783919598,1.0900000000000001e-07,0.27
0.28140703517587939,1.3270000000000002e-07,0.28
0.29145728643216079,1.6900000000000002e-07,0.289
0.30150753768844224,2.0700000000000001e-07,0.299
0.31155778894472363,2.3600000000000002e-07,0.309
0.32160804020100503,2.63e-07,0.319
0.33165829145728642,3.1e-07,0.329
0.34170854271356782,3.46e-07,0.339
0.35175879396984927,3.77e-07,0.35000000000000003
0.36180904522613067,4.1500000000000005e-07,0.36
0.37185929648241206,4.4600000000000005e-07,0.37
0.38190954773869346,4.88e-07,0.38
0.39195979899497491,5.280000000000001e-07,0.39
0.4020100502512563,5.7e-07,0.4
0.4120603015075377,6.23e-07,0.41000000000000003
0.42211055276381909,6.82e-07,0.419
0.43216080402010049,7.46e-07,0.429
0.44221105527638194,8.370000000000001e-07,0.439
0.45226130653266333,9.65e-07,0.449
0.46231155778894473,1.117e-06,0.459
0.47236180904522612,1.348e-06,0.46900000000000003
0.48241206030150752,1.658e-06,0.47900000000000004
0.49246231155778897,2.11e-06,0.488
0.50251256281407031,2.7200000000000002e-06,0.498
0.51256281407035176,3.59e-06,0.507
0.52261306532663321,4.7e-06,0.516
0.53266331658291455,6.17e-06,0.524
0.542713567839196,8.08e-06,0.532
0.55276381909547745,1.061e-05,0.54
0.56281407035175879,1.354e-05,0.547
0.57286432160804024,1.701e-05,0.554
0.58291457286432158,2.13e-05,0.559
0.59296482412060303,2.6099999999999997e-05,0.5650000000000001
0.60301507537688448,3.14e-05,0.5700000000000001
0.61306532663316582,3.71e-05,0.5740000000000001
0.62311557788944727,4.3299999999999995e-05,0.578
0.63316582914572861,4.99e-05,0.582
0.64321608040201006,5.6699999999999996e-05,0.585
0.65326633165829151,6.4e-05,0.589
0.66331658291457285,7.11e-05,0.591
0.6733668341708543,7.84e-05,0.594
0.68341708542713564,8.59e-05,0.596
0.69346733668341709,9.36e-05,0.599
0.70351758793969854,0.0001014,0.601
0.71356783919597988,0.0001096,0.603
0.72361809045226133,0.00011789999999999999,0.605
0.73366834170854267,0.0001263,0.607
0.74371859296482412,0.0001348,0.608
0.75376884422110557,0.0001438,0.61
0.76381909547738691,0.0001525,0.612
0.77386934673366836,0.00016109999999999999,0.613
0.78391959798994981,0.0001696,0.615
0.79396984924623115,0.0001781,0.616
0.8040201005025126,0.00018659999999999998,0.617
0.81407035175879394,0.0001951,0.619
0.82412060301507539,0.000204,0.619
0.83417085427135684,0.000212,0.62
0.84422110552763818,0.00022099999999999998,0.621
0.85427135678391963,0.00023099999999999998,0.622
0.86432160804020097,0.00023999999999999998,0.623
0.87437185929648242,0.000249,0.624
0.88442211055276387,0.000258,0.625
0.89447236180904521,0.000267,0.626
0.90452261306532666,0.000276,0.626
0.914572864321608,0.000285,0.627
0.92462311557788945,0.000294,0.628
0.9346733668341709,0.000303,0.629
0.94472361809045224,0.000312,0.63
0.95477386934673369,0.00032199999999999997,0.631
0.96482412060301503,0.00033099999999999997,0.631
0.97487437185929648,0.000341,0.632
0.98492462311557794,0.00035,0.633
0.99497487437185927,0.00035999999999999997,0.634
1.0050251256281406,0.00036899999999999997,0.634
1.0150753768844221,0.000379,0.635
1.0251256281407035,0.00038899999999999997,0.635
1.035175879396985,0.00039799999999999997,0.636
1.0452261306532664,0.00040699999999999997,0.637
1.0552763819095476,0.000417,0.637
1.0653266331658291,0.000426,0.638
1.0753768844221105,0.000435,0.639
1.085427135678392,0.000444,0.639
1.0954773869346734,0.000454,0.64
1.1055276381909549,0.000464,0.64
1.1155778894472361,0.000473,0.641
1.1256281407035176,0.000483,0.641
1.135678391959799,0.0004919999999999999,0.642
1.1457286432160805,0.000502,0.642
1.1557788944723619,0.000512,0.643
1.1658291457286432,0.000521,0.643
1.1758793969849246,0.000531,0.644
1.1859296482412061,0.00054,0.644
1.1959798994974875,0.000549,0.645
1.206030150753769,0.0005589999999999999,0.645
1.2160804020100502,0.0005679999999999999,0.646
1.2261306532663316,0.000578,0.646
1.2361809045226131,0.000588,0.647
1.2462311557788945,0.000597,0.647
1.256281407035176,0.000607,0.648
1.2663316582914572,0.0006169999999999999,0.648
1.2763819095477387,0.000627,0.648
1.2864321608040201,0.000636,0.649
1.2964824120603016,0.000646,0.649
1.306532663316583,0.000655,0.65
1.3165829145728642,0.000665,0.65
1.3266331658291457,0.000674,0.65
1.3366834170854272,0.000683,0.651
1.3467336683417086,0.0006929999999999999,0.651
1.3567839195979901,0.000703,0.651
1.3668341708542713,0.000713,0.652
1.3768844221105527,0.000723,0.652
1.3869346733668342,0.000732,0.653
1.3969849246231156,0.0007419999999999999,0.653
1.4070351758793971,0.000752,0.653
1.4170854271356783,0.000761,0.654
1.4271356783919598,0.000771,0.654
1.4371859296482412,0.00078,0.654
1.4472361809045227,0.00079,0.655
1.4572864321608041,0.0007999999999999999,0.655
1.4673366834170853,0.0008089999999999999,0.655
1.4773869346733668,0.000819,0.656
1.4874371859296482,0.000829,0.656
1.4974874371859297,0.000839,0.656
1.5075376884422111,0.0008489999999999999,0.657
1.5175879396984926,0.000859,0.657
1.5276381909547738,0.000869,0.657
1.5376884422110553,0.000879,0.658
1.5477386934673367,0.000888,0.658
1.5577889447236182,0.0008979999999999999,0.658
1.5678391959798996,0.000908,0.658
1.5778894472361809,0.000918,0.659
1.5879396984924623,0.000928,0.659
1.5979899497487438,0.000937,0.659
1.6080402010050252,0.0009469999999999999,0.66
1.6180904522613067,0.000957,0.66
1.6281407035175879,0.000967,0.66
1.6381909547738693,0.000977,0.66
1.6482412060301508,0.000986,0.661
1.6582914572864322,0.000997,0.661
1.6683417085427137,0.001006,0.661
1.6783919597989949,0.001016,0.661
1.6884422110552764,0.001026,0.662
1.6984924623115578,0.001035,0.662
1.7085427135678393,0.001045,0.662
1.7185929648241207,0.001054,0.662
1.7286432160804019,0.001064,0.663
1.7386934673366834,0.0010739999999999999,0.663
1.7487437185929648,0.001084,0.663
1.7587939698492463,0.001094,0.663
1.7688442211055277,0.001104,0.664
1.778894472361809,0.001114,0.664
1.7889447236180904,0.001125,0.664
1.7989949748743719,0.001134,0.664
1.8090452261306533,0.001143,0.665
1.8190954773869348,0.001153,0.665
1.829145728643216,0.001163,0.665
1.8391959798994975,0.0011719999999999999,0.665
1.8492462311557789,0.0011819999999999999,0.666
1.8592964824120604,0.001192,0.666
1.8693467336683418,0.001202,0.666
1.879396984924623,0.0012109999999999998,0.666
1.8894472361809045,0.0012209999999999999,0.667
1.8994974874371859,0.0012309999999999999,0.667
1.9095477386934674,0.001241,0.667
1.9195979899497488,0.001251,0.667
1.9296482412060301,0.0012599999999999998,0.667
1.9396984924623115,0.0012699999999999999,0.667
1.949748743718593,0.001279,0.668
1.9597989949748744,0.001289,0.668
1.9698492462311559,0.001299,0.668
1.9798994974874373,0.001308,0.668
1.9899497487437185,0.001318,0.669
2.0,0.001328,0.669
